web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_061_24,WoL,29,46,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_25,WoL,16,21,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_26,WoL,20,28,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_27,WoL,19,21,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_28,WoL,27,36,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_29,WoL,26,39,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_30,WoL,20,30,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_31,WoL,24,35,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_32,WoL,24,28,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_33,WoL,8,6,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
M_PL_061_34,WoL,10,9,-4.666667,55.43333,"Morne Seychellois National Park, Mahé","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324."
