plant	web	Latitude	lat.x	lat.sc	symmetry	PC1	PC2	PC3	PC4	pc1.sc	pc2.sc	pc3.sc	pc4.sc	n.poll	n.shared	rel.mn.n.shared
Claoxylon linostachys	M_PL_060_03	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.82413123972565	-30.9676621306344	-1.21794254702896	-2.09377327556661	0.282936868751267	-1.32580738008738	-0.0885147184583577	-0.211339926572217	2	2	0.291666666666667
Sideroxylon cinereum	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-9.72240751683688	3.84605087733165	3.28198687144398	5.47222501015629	-0.31173919163323	0.164659592830987	0.238520400341169	0.552351892790355	12	10	0.1625
Molinaea alternifolia	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.58710801945703	-28.0263916883063	-0.87779664868431	12.996685375553	0.307400949704106	-1.19988382658109	-0.0637944075535561	1.31185098453808	16	13	0.16875
Aphloia theiformis	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	11.4696124974864	-21.3206186332092	-0.491513178490337	6.69431954812188	0.367761557219325	-0.912791976762572	-0.0357210204362868	0.675706877273124	14	13	0.228571428571429
Croton fothergillifolius	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.66011119157983	-31.5268951449193	-1.25460603948216	-2.24988549254881	0.27767773132753	-1.34974962197828	-0.09117926016446	-0.227097480104423	12	11	0.25
Syzygium venosum	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.5004001233799	-26.8963979010843	-0.744028161694531	8.1301647335114	0.304620748464393	-1.15150580901451	-0.0540727010630617	0.820637285732546	5	5	0.33
Roussea simplex	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-23.4693874356541	12.4672916956943	-10.7371970025889	0.424003234238857	-0.752522238411399	0.533757675026499	-0.780332349858766	0.0427977629842337	4	4	0.2
Stillingia lineata	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.65553599690924	-31.5438553494002	-1.25575832525129	-2.25469560736148	0.277531032324664	-1.35047573311233	-0.091263003236485	-0.22758300034827	6	4	0.175
Dracaena reflexa	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	70.3878350547198	34.5136345390153	-0.793699601963622	-8.63912561493188	2.2569149423918	1.47761982136195	-0.0576826033212305	-0.872010448511323	12	11	0.2125
Bertiera zaluzania	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1104953311281	13.0843214501485	19.7913973506796	-2.05570398283324	-0.869270690892819	0.560174347965449	1.43835188996911	-0.207497313035778	5	4	0.19
Coffea mauritiana	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.1108549270591	13.0844615079756	19.791764771843	-2.05580098963599	-0.869282220973681	0.560180344210823	1.43837859252656	-0.207507104645409	4	3	0.3
Chassalia coriacea	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.3763626413135	13.198752464285	20.0795987329115	-2.12871299478547	-0.877795458057265	0.565073441814157	1.45929710144053	-0.214866649250521	6	5	0.225
Claoxylon linostachys	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.82413123972565	-30.9676621306344	-1.21794254702896	-2.09377327556661	0.282936868751267	-1.32580738008738	-0.0885147184583577	-0.211339926572217	5	5	0.13
Psiadia terebinthina	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-33.6618214183517	18.2488235359815	-25.9822516295975	-1.72081995126702	-1.07933235463403	0.781280318154287	-1.88827600572636	-0.173695006230491	7	7	0.3
Antidesma madagascariense	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.8955983685788	-30.7875069001055	-1.20883587315551	-2.05510595075747	0.285228390160799	-1.31809445900251	-0.0878528853727439	-0.207436949262653	6	4	0.2
Antirhea borbonica	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	-27.0942485136209	13.0774118388036	19.7742371930343	-2.05131853910129	-0.868749753074945	0.559878529260248	1.43710476503174	-0.207054657965569	6	5	0.2
Toddalia asiatica	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	9.58710479962313	-28.0206985523696	-0.877337446397306	12.9843011402028	0.307400846463379	-1.19964008839999	-0.0637610347468923	1.31060095263629	4	3	0.3
Erythroxylum macrocarpum	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	8.95860240237	-30.5764550100579	-1.1950821888801	-1.99609840190775	0.287248550962503	-1.30905877034683	-0.0868533279680266	-0.201480883633851	3	2	0.316666666666667
Pandanus wiehii	M_PL_060_04	-20.7	4.54972526643093	-0.288263447307419	Actinomorphic	64.3276440218456	29.2242171513722	-0.457416260709276	-2.02941186931622	2.06260102884111	1.25116589728731	-0.0332430061120064	-0.204843456763488	2	2	0.1
