web,plant,symmetry,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_010,Cerastium arcticum,actinomorphic,20,20,7.86666666666667,7.5
M_PL_010,Papaver radicatum,actinomorphic,19,17,5.33333333333333,5
M_PL_010,Potentilla hyparctica,actinomorphic,17,17,6.8,6.5
M_PL_010,Cassiope tetragona,actinomorphic,16,16,4.7,4
M_PL_010,Saxifraga nivalis,actinomorphic,16,16,5.9,6
M_PL_010,Arnica angustifolia,actinomorphic,15,15,5.2,5
M_PL_010,Arenaria pseudofrigida,actinomorphic,14,14,5.26666666666667,4.5
M_PL_010,Melandrium triflorum,actinomorphic,14,14,5.56666666666667,5.5
M_PL_010,Saxifraga cernua,actinomorphic,13,13,5.53333333333333,5.5
M_PL_010,Ranunculus sulphureus,actinomorphic,12,11,4,4
M_PL_010,Cochlearia groenlandica,actinomorphic,11,11,4.33333333333333,4.5
M_PL_010,Stellaria longipes,actinomorphic,11,11,3.86666666666667,4
M_PL_010,Epilobium latifolium,actinomorphic,10,10,3.23333333333333,3
M_PL_010,Rhododendron lapponicum,actinomorphic,10,10,2.06666666666667,2
M_PL_010,Taraxacum phymatocarpum,actinomorphic,10,10,3.76666666666667,4
M_PL_010,Armeria scabra,actinomorphic,9,9,3,3
M_PL_010,Pedicularis hirsuta,zygomorphic,9,8,3.13333333333333,3
M_PL_010,Draba lactea,actinomorphic,8,7,2.23333333333333,2
M_PL_010,Vaccinium uliginosum,actinomorphic,8,8,2.26666666666667,2
M_PL_010,Saxifraga hirculus,actinomorphic,7,6,2.16666666666667,2
M_PL_010,Draba arctica,actinomorphic,6,6,2.53333333333333,2
