web,plant,tip_name,symmetry,PC1,PC2,PC3,PC4,n.poll,n.shared,mn.n.shared,md.n.shared
M_PL_015,Heliotropium europaeum,Heliotropium_europaeum,actinomorphic,-24.6412034230671,12.0161703095442,17.1189259170633,-1.39909718532478,43,43,3.86923076923077,2
M_PL_015,Reseda alba,Reseda_alba,actinomorphic,9.25195106368265,-30.3562563600127,-1.04835299823828,16.9146105007812,43,42,4.40769230769231,3
M_PL_015,Scabiosa atropurpurea,Scabiosa_atropurpurea,actinomorphic,-22.7879352775115,11.701246234033,-7.31372034754861,0.872604375554794,42,41,4.12307692307692,3
M_PL_015,Echinops microcephalus,Echinops_microcephalus,actinomorphic,-32.8595934731391,17.7932882313361,-24.7796759797672,-1.55176732765594,41,38,2.48461538461538,1
M_PL_015,Tordylium apulum,Tordylium_apulum,actinomorphic,-24.5077267318369,12.4580528454994,-8.37587466021494,0.734412648206327,41,37,2.03846153846154,1
M_PL_015,Cistus salvifolius,Cistus_salvifolius,actinomorphic,9.14158542389806,-30.7954907551658,-1.07547466958323,17.4142070831302,39,36,3.79230769230769,3
M_PL_015,Scorzonera cana,Scorzonera_cana,actinomorphic,-33.093719545396,17.9264663964798,-25.1320170969565,-1.60125144940519,39,37,4.14615384615385,3
M_PL_015,Ornithogalum exscapum,Ornithogalum_exscapum,actinomorphic,70.2807540130012,34.4203024456044,-0.787802737936057,-8.52436054836281,36,34,3.71538461538462,3
M_PL_015,Erodium malacoides,Erodium_malacoides,actinomorphic,11.1634165234291,-21.1209843951739,-0.443815970233299,4.83094850567879,35,35,4.3,3
M_PL_015,Helichrysum stoechas,Helichrysum_stoechas,actinomorphic,-33.5597648572208,18.1908714139994,-25.829261339059,-1.69931346973818,35,32,2.69230769230769,2
M_PL_015,Fumana thymifolia,Fumana_thymifolia,actinomorphic,9.15976217778101,-30.7234197572626,-1.07109752186751,17.3364681523273,34,31,3.96923076923077,3
M_PL_015,Satureja thymbra,Satureja_thymbra,zygomorphic,-31.0038305986127,15.0785423381762,26.6155692917132,-3.98406517318946,34,33,3.18461538461538,2
M_PL_015,Teucrium polium,Teucrium_polium,zygomorphic,-30.8840102821571,15.0222429989164,26.4469444639832,-3.9383249250036,33,28,2.25384615384615,1
M_PL_015,Convolvulus althaeoides,Convolvulus_althaeoides,actinomorphic,-25.0884126248085,12.1913762312718,17.4562111944892,-1.47237230311698,32,30,3.98461538461538,3
M_PL_015,Crupina crupinastrum,Crupina_crupinastrum,actinomorphic,-32.8769520522726,17.8029123340723,-24.8048023492178,-1.55534725869655,32,29,2.85384615384615,2
M_PL_015,Phagnalon graecum,Phagnalon_graecum,actinomorphic,-33.5421282483187,18.1808824619992,-25.8029804829067,-1.69561385115184,32,31,2.8,2
M_PL_015,Convolvulus cantabrica,Convolvulus_cantabrica,actinomorphic,-25.0884126248085,12.1913762312718,17.4562111944892,-1.47237230311698,31,30,2.88461538461538,2
