web,connectance,web.asymmetry,links.per.species,nestedness,n.aff,n.hosts,host.sharing,aff.sharing,modularity,z.est,zstar,zstarLO,zstarHI
M_PL_052,0.157264957264957,0.444444444444444,1.7037037037037,18.4657536068195,39,15,0.541160593792173,1.45714285714286,0.312145531177521,0.616932475304918,0.635126764358628,0.578777758162287,0.691475770554968
M_PL_053,0.0202363773792345,0.49618320610687,1.49872773536896,1.31640098647475,294,99,0.0884585916277774,0.219542362399505,0.575963914394379,0.728564056262949,0.76422319661833,0.75170443130116,0.7767419619355
M_PL_054,0.0215116602660433,0.475638051044084,1.79350348027842,1.14959858742822,318,113,0.15532805586969,0.350979772439949,0.456887423992157,0.681959766996481,0.690523312352807,0.66507393675919,0.715972687946425
M_PL_055,0.0345352564102564,0.505791505791506,1.66409266409266,2.88376866445202,195,64,0.159238699444885,0.401289682539683,0.518017768859863,0.678496918316893,0.702120583097664,0.682598330558711,0.721642835636617
M_PL_056,0.0262230919765166,0.600877192982456,1.91008771929825,1.66364869922856,365,91,0.128225199458076,0.597313797313797,0.455676645040512,0.686740215448952,0.720748456370103,0.709927759328107,0.731569153412099
M_PL_057,0.0190737318948561,0.771313941825476,1.92577733199599,0.787348194360289,883,114,0.124973356651078,0.972519795062878,0.481282651424408,0.731059994617137,0.750420086348619,0.744836558689899,0.75600361400734
M_PL_058,0.123070987654321,0.433628318584071,2.82300884955752,10.1378251997053,81,32,0.735802469135802,2.29233870967742,0.218924731016159,0.474435221649777,0.492313943215527,0.473781221916486,0.510846664514567
M_PL_059,0.420118343195266,0,2.73076923076923,7.29381351407274,13,13,2.65384615384615,3.66666666666667,0.0395754911005497,0.308247886372349,NA,NA,NA
M_PL_060_01,0.221445221445221,0.56,1.9,25.2520533833987,39,11,0.62753036437247,2.8,0.296509712934494,0.579734916913097,NA,NA,NA
M_PL_060_02,0.234649122807018,0.52,2.14,19.5318751993543,38,12,0.884779516358464,2.71212121212121,0.24242290854454,0.519935555308236,0.535610256647874,0.521463405855112,0.549757107440637
M_PL_060_03,0.222222222222222,0.551724137931034,2.24137931034483,18.6431200796193,45,13,0.834343434343434,3.12820512820513,0.190325438976288,0.509545247134908,NA,NA,NA
M_PL_060_04,0.13871635610766,0.373134328358209,2,16.2196624144005,46,21,0.5256038647343,1.44285714285714,0.299871921539307,0.561082757517344,0.53136890971345,0.405268012014892,0.657469807412008
M_PL_060_05,0.0808080808080808,0.241379310344828,1.6551724137931,8.79605047875203,54,33,0.287910552061495,0.723484848484849,0.436125546693802,0.627582032765611,0.623014704837335,0.545898332749099,0.70013107692557
M_PL_060_06,0.0820512820512821,0.267605633802817,1.35211267605634,7.47942541413821,45,26,0.250505050505051,0.492307692307692,0.512586772441864,0.683200896380076,0.737146307924416,0.715977175464992,0.75831544038384
M_PL_060_07,0.0954907161803713,0.147058823529412,1.58823529411765,7.6246193078516,39,29,0.341430499325236,0.938423645320197,0.399391293525696,0.635719444273535,NA,NA,NA
M_PL_060_08,0.135338345864662,0.191489361702128,1.53191489361702,13.0965413410349,28,19,0.436507936507937,0.824561403508772,0.451003104448318,0.593912024737076,0.0777373312662682,-6.73651748576314,6.89199214829567
M_PL_060_09,0.108333333333333,0.379310344827586,1.3448275862069,11.226738607706,40,18,0.311538461538462,0.673202614379085,0.47000327706337,0.688949139128516,NA,NA,NA
M_PL_060_10,0.145714285714286,0.282051282051282,1.30769230769231,16.335040198586,25,14,0.423333333333333,0.538461538461538,0.5,0.653439813488357,0.631942431966787,0.478848316113686,0.785036547819889
M_PL_060_11,0.153571428571429,0.176470588235294,1.26470588235294,14.849201242484,20,14,0.442105263157895,0.494505494505495,0.510005414485931,0.61530705696761,0.65822175801551,0.417883942810035,0.898559573220986
M_PL_060_12,0.20979020979021,0.405405405405405,1.62162162162162,25.4245777180909,26,11,0.556923076923077,1.43636363636364,0.290972232818604,0.576712295283485,0.574930662808249,0.549335400563634,0.600525925052864
